Function,f_bias,Dimension,Algorithm,Best,Worst,Mean,Median,Std,Avg_Time(s)
F8,2200.0,10,DE,2.215597390375447e+03,2.226446822539118e+03,2.221545865403972e+03,2.222593383297352e+03,4.490769412267742e+00,2.4371
F8,2200.0,10,GA,2.265895602717907e+03,2.366893721757950e+03,2.313041811582426e+03,2.306336110271421e+03,4.150405470120513e+01,2.3380
F8,2200.0,10,ABC,2.225181038790512e+03,2.312972987371937e+03,2.257290979357622e+03,2.233718911910420e+03,3.952710742205918e+01,2.4248
F8,2200.0,10,GWO,2.453342609574161e+03,4.149355883866861e+03,3.089294568029763e+03,2.665185210648268e+03,7.545492327247090e+02,2.3916
F8,2200.0,10,WOA,2.261988669661238e+03,3.817945334484318e+03,2.953345071010470e+03,2.780101208885855e+03,6.469210990142617e+02,2.3580
F8,2200.0,10,SCA,2.970434893339951e+03,4.115465444720623e+03,3.470411499872429e+03,3.325334161556713e+03,4.785807604911009e+02,2.3042
F8,2200.0,10,HHO,2.619778971246569e+03,3.332300637739440e+03,2.961200925080163e+03,2.931523166254481e+03,2.916417417907699e+02,4.2511
F8,2200.0,10,MPA,2.281843207537063e+03,2.332796494059502e+03,2.313539012988962e+03,2.325977337370321e+03,2.258455647740112e+01,2.3240
F8,2200.0,10,AO,2.281163851503421e+03,2.341848466438997e+03,2.302652336622450e+03,2.284944691924932e+03,2.775879599958575e+01,2.2881
F8,2200.0,10,DBO,2.315852413993407e+03,4.852903434221819e+03,3.184466615447481e+03,2.384643998127218e+03,1.180097209044883e+03,2.2787
F9,2300.0,10,WSOA,2.300007505077531e+03,2.667496273795897e+03,2.544087937466093e+03,2.664760033524852e+03,1.725945438669210e+02,0.6999
F9,2300.0,10,PSO,2.680523187087415e+03,2.771080882598993e+03,2.732818312226339e+03,2.746850866992607e+03,3.827844039876913e+01,0.4514
F9,2300.0,10,DE,2.302636128266728e+03,2.659227860042685e+03,2.422873147561848e+03,2.306755454376132e+03,1.671364807491634e+02,0.6671
F9,2300.0,10,GA,2.675494242327966e+03,2.682484441743000e+03,2.679832098033655e+03,2.681517610029999e+03,3.092618629667408e+00,0.6030
F9,2300.0,10,ABC,2.322269652152684e+03,2.410277273973432e+03,2.361532557327670e+03,2.352050745856893e+03,3.654918089562329e+01,0.6634
F9,2300.0,10,GWO,2.661228962683771e+03,2.720232351671056e+03,2.683897029408911e+03,2.670229773871905e+03,2.595438798394294e+01,0.5964
F9,2300.0,10,WOA,2.669610139487421e+03,2.672723933434266e+03,2.670768556028670e+03,2.669971595164321e+03,1.390512651345961e+00,0.5663
F9,2300.0,10,SCA,2.681253345598834e+03,2.732842082637454e+03,2.705533119681756e+03,2.702503930808979e+03,2.116965495278850e+01,0.5250
F9,2300.0,10,HHO,2.671128964947407e+03,2.756423947893371e+03,2.702726934983134e+03,2.680627892108625e+03,3.816703901636517e+01,0.9697
F9,2300.0,10,MPA,2.669859476940805e+03,2.737296971785713e+03,2.709818908062670e+03,2.722300275461492e+03,2.891127031508111e+01,0.5374
F9,2300.0,10,AO,2.669378528660662e+03,2.673405319068436e+03,2.670968189707375e+03,2.670120721393026e+03,1.749745153806406e+00,0.5211
F9,2300.0,10,DBO,2.699132712965081e+03,2.765816757882935e+03,2.721591443484837e+03,2.699824859606496e+03,3.127329629733393e+01,0.5006
F10,2400.0,10,WSOA,7.895454823297557e+02,2.737402190527053e+03,2.026942991309051e+03,2.553881301070342e+03,8.781740243778064e+02,0.7304
